idx,TLS_AES_128_GCM_SHA256,TLS_AES_256_GCM_SHA384,TLS_CHACHA20_POLY1305_SHA256,TLS_RSA_WITH_RC4_128_SHA,TLS_RSA_WITH_3DES_EDE_CBC_SHA,TLS_RSA_WITH_AES_128_CBC_SHA,TLS_RSA_WITH_AES_256_CBC_SHA,TLS_RSA_WITH_AES_128_CBC_SHA256,TLS_RSA_WITH_AES_128_GCM_SHA256,TLS_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_RC4_128_SHA,TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256
0,0.005601715,0.006859449,0.004005341,0.004293526,0.003959206,0.00226999,0.003582882,0.002441896,0.002861116,0.00228911,0.002126249,0.001787188,0.003984078,0.002727969,0.004138308,0.003399478,0.002722873,0.001880829
1,0.002231458,0.003252139,0.003371362,0.003050353,0.003465561,0.002983562,0.003278526,0.004887499,0.004114643,0.00485363,0.004682135,0.004708652,0.003360178,0.005620347,0.004320982,0.005757957,0.004217147,0.003887195
2,0.00355936,0.003483998,0.002862891,0.002995477,0.002492561,0.003075958,0.003038148,0.003175658,0.003058201,0.002730058,0.003389826,0.002326958,0.002731882,0.00176377,0.002393269,0.002526826,0.002085547,0.002619622
3,0.001780497,0.002326752,0.001449012,0.002077836,0.002137171,0.001638653,0.001433399,0.001902644,0.001265101,0.002043743,0.001467037,0.002354361,0.001449801,0.002407642,0.001456343,0.002246754,0.001478294,0.002370792
4,0.0021654,0.001535006,0.002186431,0.001315475,0.00207299,0.001322449,0.002001998,0.00169032,0.001903661,0.002045377,0.002343986,0.002340923,0.003441717,0.001890679,0.003376233,0.002050871,0.001821734,0.001649113
5,0.002216399,0.001557546,0.001600273,0.002163081,0.001521109,0.0028319,0.002994484,0.001888255,0.00259236,0.002963826,0.002165509,0.002830437,0.002149056,0.002610827,0.00212158,0.002700617,0.001945675,0.002685547
6,0.001726968,0.002163658,0.00198273,0.002201376,0.001492031,0.002165413,0.001662998,0.002058241,0.002099266,0.001608566,0.002331158,0.001746724,0.002678125,0.001721571,0.002707029,0.002136238,0.002886542,0.002931751
7,0.002080118,0.003042345,0.002814417,0.002792777,0.002292875,0.002861637,0.002152462,0.002688348,0.002114335,0.002595365,0.002380488,0.002766131,0.001823318,0.002296214,0.00147694,0.002251567,0.00144592,0.002207243
8,0.001416385,0.002129577,0.001404613,0.001279289,0.001925437,0.001264848,0.001926936,0.001246648,0.001885385,0.00127041,0.00235424,0.001443726,0.002368148,0.002171076,0.001556874,0.002249881,0.001465703,0.002287652
9,0.002076042,0.001622425,0.002152074,0.001452267,0.001671342,0.001555242,0.001278721,0.001337867,0.001737309,0.001420086,0.002498443,0.003389785,0.001910737,0.003968933,0.004110787,0.004102288,0.004584459,0.004210136
