idx,AES128-SHA256,AES128-GCM-SHA256,AES256-GCM-SHA384,ECDHE-RSA-AES128-SHA256,ECDHE-RSA-AES128-GCM-SHA256,ECDHE-RSA-AES256-GCM-SHA384
0,0.0034081,0.00254903,0.00275856,0.0153072,0.00789142,0.00463154
1,0.0012669,0.00183432,0.00156154,0.00896069,0.0103852,0.010088
2,0.00218338,0.00235075,0.00285432,0.00927014,0.00897917,0.0111005
3,0.00374838,0.00331455,0.00260368,0.0098684,0.00806112,0.00825259
4,0.0018586,0.00185875,0.00183379,0.00507049,0.00422043,0.00419648
5,0.0010799,0.00264448,0.00116607,0.00428252,0.00421723,0.00424456
6,0.0011995,0.00107204,0.00126685,0.004332,0.00440586,0.00419856
7,0.00110847,0.00108425,0.00134844,0.00421571,0.00445988,0.00420486
8,0.00119184,0.00108661,0.00115704,0.00422296,0.00439188,0.00418753
9,0.0012389,0.0010884,0.0011072,0.00416942,0.00657971,0.00418653
10,0.00107991,0.00106519,0.0029211,0.0041795,0.00416327,0.00549002
11,0.00106642,0.00104534,0.00251647,0.0041012,0.00408809,0.0047985
12,0.00109947,0.0010365,0.00105911,0.00415024,0.00413228,0.00412979
13,0.00107337,0.0010337,0.0010717,0.0041428,0.00413809,0.00411556
14,0.00105939,0.00103484,0.00105941,0.0041204,0.00410893,0.00416499
15,0.00102829,0.00104307,0.00106175,0.00412128,0.00411522,0.0041519
16,0.00106104,0.0010577,0.00105788,0.00545285,0.00409824,0.00415185
17,0.00107088,0.00103485,0.00104334,0.00413691,0.00412898,0.00415131
18,0.00106194,0.00104366,0.00105591,0.00410564,0.00413707,0.00413057
19,0.00106748,0.00106072,0.00105249,0.00411783,0.00413814,0.00411001
20,0.00107665,0.00104326,0.00105148,0.00410032,0.0041305,0.00413677
21,0.00106248,0.00103619,0.0010466,0.00413087,0.00408107,0.00419768
22,0.00107084,0.00103598,0.00104829,0.00417955,0.0070066,0.0041964
23,0.0010684,0.00104368,0.00105445,0.00517945,0.00415934,0.00416464
24,0.00108466,0.00249462,0.00109759,0.00435274,0.00416746,0.00435397
25,0.00108213,0.0012456,0.00111916,0.00410005,0.00414087,0.00415106
26,0.0010676,0.00278414,0.00165669,0.00529112,0.00417,0.00413784
27,0.00106465,0.00109099,0.00253822,0.00413163,0.00411321,0.00415329
28,0.0010776,0.00230764,0.00106358,0.00553985,0.00412778,0.00511399
29,0.00123083,0.00106991,0.00110233,0.00415416,0.00412629,0.00418558
30,0.00280693,0.0016658,0.00107656,0.00540368,0.00732354,0.00472429
31,0.00138887,0.00109835,0.00115888,0.00596,0.00508916,0.00489152
32,0.00279865,0.00152225,0.00144891,0.00625713,0.00554471,0.00645774
33,0.00269657,0.00155601,0.00309445,0.0109107,0.0105883,0.00940755
34,0.003656,0.00210828,0.00177788,0.00479458,0.0041618,0.00424155
35,0.00176562,0.00109802,0.00106185,0.00419517,0.00412638,0.00726554
36,0.00113273,0.00105193,0.00275663,0.00561076,0.00493916,0.0046242
37,0.0014742,0.00273817,0.00312064,0.0071207,0.00990573,0.00733172
38,0.00204944,0.00207712,0.00225889,0.0070947,0.00636947,0.00609632
39,0.0017079,0.00162755,0.00297217,0.0104888,0.00969234,0.00724864
40,0.0027052,0.0029841,0.00370198,0.00726468,0.00464023,0.0042973
41,0.00107109,0.00109677,0.00266612,0.0041511,0.00475429,0.00427444
42,0.0010536,0.00103864,0.00105326,0.00414531,0.00425041,0.00426388
43,0.0010815,0.00107771,0.00106874,0.00415782,0.00414366,0.00453764
44,0.00110211,0.00103659,0.00105716,0.00421514,0.00417668,0.00426881
45,0.00109937,0.00110723,0.00106284,0.00420019,0.0041295,0.00813225
46,0.00112121,0.00105082,0.00105311,0.00417901,0.00534706,0.00429236
47,0.00109084,0.0010854,0.00266592,0.00421071,0.00423399,0.00426105
48,0.00105509,0.00109162,0.00107333,0.00416875,0.00425222,0.00425272
49,0.00109257,0.0010397,0.00105478,0.0044116,0.00416721,0.00429161
50,0.00111296,0.00108705,0.00105503,0.00419006,0.00414967,0.00433522
51,0.00109495,0.00109147,0.00106329,0.00419916,0.00416068,0.00451664
52,0.00116418,0.0011132,0.00107877,0.00416599,0.00446965,0.00427996
53,0.00121249,0.00107317,0.00131046,0.00419223,0.00423809,0.00675851
54,0.0016248,0.00135484,0.00142481,0.00795492,0.00722817,0.00692348
55,0.00197045,0.00344726,0.00271872,0.00904482,0.00765056,0.00698007
56,0.00327503,0.00333806,0.00430379,0.0107394,0.0102346,0.00728963
57,0.00176183,0.00147531,0.00114548,0.00733771,0.00808633,0.0075537
58,0.00194569,0.00220771,0.00212262,0.00695007,0.00670369,0.00629268
59,0.00162829,0.00165046,0.00135123,0.00588337,0.00603466,0.0071244
60,0.00166627,0.00193364,0.00205496,0.00648895,0.00622939,0.005699
61,0.00171406,0.00136886,0.00283967,0.00922272,0.00708582,0.00717208
62,0.00329809,0.00370164,0.00360789,0.00822858,0.00550016,0.00677458
63,0.00180425,0.00337532,0.00257532,0.00801779,0.0076587,0.00741865
64,0.00186818,0.00195734,0.00173341,0.00537372,0.00521584,0.00536405
65,0.00329636,0.00378556,0.00368517,0.0085083,0.00755729,0.00728475
66,0.00217497,0.00189565,0.00193088,0.00617966,0.00531578,0.00510278
67,0.00151146,0.0011852,0.00114998,0.00539475,0.00915548,0.0071803
68,0.00179319,0.00214545,0.00184686,0.00645208,0.00653462,0.00567213
69,0.00178046,0.00284632,0.0036188,0.00886316,0.00488338,0.00487767
70,0.00136477,0.0029232,0.00258917,0.00436203,0.00715248,0.00481321
71,0.00138638,0.0011464,0.00124459,0.00558579,0.00514092,0.00516276
72,0.00142309,0.00124936,0.00328176,0.0110901,0.00983814,0.00820901
73,0.00319392,0.00201642,0.00174009,0.00472834,0.00429276,0.00421095
74,0.00110287,0.00109287,0.00107187,0.00418074,0.00416199,0.00422464
75,0.00131937,0.00109697,0.00108561,0.00440138,0.00447339,0.00452848
76,0.00113827,0.00110818,0.00196878,0.00422019,0.00420163,0.0042521
77,0.00122855,0.00110397,0.00110323,0.00423364,0.00419377,0.0046217
78,0.00108987,0.00109554,0.00109303,0.00421746,0.00416758,0.00420951
79,0.00107505,0.001354,0.00115193,0.00789691,0.004241,0.00766072
80,0.00287281,0.00270132,0.00258601,0.00831402,0.00468152,0.00419614
81,0.00104896,0.00104396,0.00289843,0.00424492,0.00420794,0.00420046
82,0.00108498,0.00262673,0.00110694,0.00427873,0.00421707,0.00549711
83,0.00109782,0.00104917,0.00267361,0.00426058,0.00420385,0.0042523
84,0.00106314,0.00107612,0.00111968,0.00553305,0.0042412,0.00418383
85,0.00110836,0.00105182,0.00106234,0.00422774,0.00424378,0.00424548
86,0.00105639,0.00103478,0.001094,0.00754346,0.00425605,0.00421322
87,0.00259024,0.00113077,0.00110349,0.00556901,0.00416237,0.00484056
88,0.00116134,0.00106082,0.00106857,0.00422709,0.00425485,0.00442262
89,0.00111462,0.00107649,0.0011167,0.0043422,0.0042371,0.0042601
90,0.00115033,0.00124438,0.00109694,0.00421079,0.00414639,0.00419313
91,0.00106524,0.001101,0.00127235,0.00420838,0.00424424,0.00414175
92,0.00297491,0.0011751,0.00108906,0.00423271,0.00415313,0.00765684
93,0.00116264,0.00111146,0.00256763,0.00419995,0.00524981,0.00454486
94,0.00111886,0.00107932,0.00106269,0.00418785,0.00414212,0.00423823
95,0.00109874,0.00127625,0.00112171,0.00414674,0.00418711,0.00427018
96,0.00109018,0.00104828,0.00111124,0.00417633,0.00414856,0.00426964
97,0.00107567,0.00120499,0.00108071,0.00417028,0.00419887,0.00418364
98,0.00110835,0.00109052,0.0010665,0.00440593,0.00426214,0.00418127
99,0.00107093,0.00106765,0.00109967,0.00422846,0.00417549,0.00421767
100,0.00169379,0.00108273,0.00112136,0.00427431,0.00422036,0.00416009
101,0.00110039,0.0012152,0.00106936,0.00428441,0.00420904,0.00414209
102,0.00106792,0.00104653,0.00105996,0.00446213,0.00422063,0.00417704
103,0.00108645,0.00250452,0.00107049,0.00713629,0.00426933,0.00542954
104,0.00108395,0.00148125,0.00270898,0.00416783,0.00416172,0.00417214
105,0.00106351,0.00251243,0.00105941,0.00413141,0.0041329,0.00414936
106,0.00105945,0.00104313,0.00104876,0.00412376,0.0041103,0.00414237
107,0.00106309,0.00109336,0.00106386,0.00412217,0.00409564,0.00415527
108,0.00106782,0.00103993,0.00105483,0.00412595,0.00409347,0.00414565
109,0.00104733,0.00103792,0.00105373,0.0041099,0.00412897,0.00414228
110,0.00106278,0.0010425,0.00105094,0.00411388,0.00412779,0.00411483
111,0.00104606,0.00104933,0.00108394,0.00463773,0.00417279,0.00413735
112,0.00106174,0.00104463,0.00111817,0.00410614,0.00412098,0.00414899
113,0.0010684,0.00103155,0.00144879,0.00565462,0.00414826,0.00417182
114,0.00105444,0.00105443,0.00106228,0.00412789,0.00412813,0.0041087
115,0.00105173,0.00275386,0.00108178,0.00415275,0.00419976,0.00414868
116,0.00273169,0.0010901,0.0027886,0.00415134,0.00413986,0.00414697
117,0.00108638,0.00104157,0.00105207,0.00413769,0.0041106,0.00412759
118,0.00107255,0.00104556,0.00104941,0.00412488,0.00416476,0.00415311
119,0.00106749,0.00103855,0.00104966,0.00412736,0.00414822,0.00414726
120,0.00106997,0.00104532,0.00104501,0.00413243,0.0041608,0.00415241
121,0.00104555,0.00103459,0.00105266,0.00413636,0.00717317,0.00745419
122,0.00283094,0.0023631,0.00166076,0.0069195,0.00761029,0.00765038
123,0.00195082,0.00187157,0.00189665,0.00700243,0.00664914,0.00664465
124,0.0018847,0.00311366,0.00205729,0.0130695,0.00957519,0.00893054
125,0.00239955,0.00206334,0.00174425,0.00585255,0.00517704,0.0049105
126,0.00127217,0.00285441,0.00171359,0.00701258,0.0112832,0.00855873
127,0.0016836,0.00140244,0.00279725,0.00504844,0.00424721,0.00431682
128,0.00103809,0.00184231,0.00115094,0.00536182,0.0043958,0.00421951
129,0.00108248,0.00292785,0.00110609,0.00429138,0.00452999,0.00440569
130,0.00117836,0.00118419,0.0011256,0.00471326,0.00446945,0.00563411
131,0.00121671,0.00144201,0.00128653,0.00772668,0.00750954,0.00647597
132,0.00330224,0.00346397,0.00382143,0.00983856,0.0121085,0.0126449
133,0.00432394,0.00308397,0.00373747,0.00972114,0.0106941,0.00825278
134,0.00129653,0.00128824,0.00288244,0.00571049,0.00922809,0.00960524
135,0.00206005,0.00183105,0.00184203,0.00622351,0.00472113,0.00452615
136,0.00112846,0.00121275,0.0011045,0.00418135,0.00418933,0.0065103
137,0.00112741,0.00106373,0.00111669,0.0041623,0.00416601,0.00423731
138,0.00110414,0.00109483,0.0010718,0.00418728,0.00415356,0.00423857
139,0.00112324,0.00272675,0.00109067,0.00416099,0.00415028,0.00427724
140,0.00109907,0.00107629,0.00128013,0.00434704,0.00434596,0.00425932
141,0.00109438,0.00106235,0.00106323,0.00417826,0.00417382,0.00429355
142,0.00109333,0.00101821,0.00105452,0.00433082,0.00412874,0.00450702
143,0.0011207,0.00104461,0.00104608,0.00416431,0.00414733,0.00440387
144,0.00112049,0.00104458,0.0011519,0.0041377,0.0041288,0.00430707
145,0.00110777,0.00103655,0.00105677,0.00415186,0.00424779,0.00431158
146,0.00108632,0.00108039,0.00107547,0.004167,0.00415957,0.00426278
147,0.00108943,0.00108052,0.00107596,0.00419926,0.00415863,0.0042861
148,0.0010804,0.00109808,0.00107553,0.00419016,0.00415483,0.00424913
149,0.00108218,0.00110753,0.00106528,0.00418932,0.00410465,0.00420932
150,0.00110668,0.0011031,0.00107044,0.00416539,0.00415711,0.00548928
151,0.00114363,0.00108485,0.00106864,0.00418613,0.00417044,0.00430223
152,0.00110399,0.00104338,0.00269468,0.00437079,0.00748797,0.00753243
153,0.00265879,0.00269674,0.00298391,0.00978438,0.00854845,0.00716634
154,0.00217756,0.00186221,0.00207403,0.00720948,0.00737426,0.00676141
155,0.00194349,0.00187611,0.00147189,0.00479847,0.0047012,0.00584286
156,0.00164934,0.00176254,0.00145713,0.00762306,0.00923811,0.00601288
157,0.00114486,0.00105472,0.00275737,0.00436,0.0042832,0.00417242
158,0.00109522,0.00105479,0.00106084,0.00419769,0.00419791,0.0042059
159,0.00109199,0.00104622,0.00105629,0.00420626,0.00418712,0.00555842
160,0.00110049,0.00269302,0.00112318,0.00423378,0.0055515,0.00423753
161,0.00107115,0.00106856,0.00262806,0.0041977,0.00541316,0.004312
162,0.0011365,0.00263063,0.00111189,0.00531259,0.00424133,0.00423208
163,0.00111005,0.00276752,0.00111487,0.00546532,0.0042234,0.00415938
164,0.00103392,0.00105849,0.00108332,0.00415857,0.00413601,0.00418495
165,0.00104325,0.0010361,0.00254539,0.0041333,0.00412709,0.00415082
166,0.0010621,0.00258394,0.00109918,0.00541604,0.00414655,0.00415503
167,0.00106196,0.00141301,0.00125694,0.00431871,0.00445219,0.00554064
168,0.00121504,0.00113017,0.00280233,0.00751712,0.00833137,0.00706494
169,0.00247479,0.00138212,0.0012248,0.00618496,0.00736881,0.00705106
170,0.00250394,0.00264773,0.00239839,0.00898843,0.00703195,0.00591168
171,0.00225151,0.0021794,0.00214968,0.00645343,0.00564454,0.00566492
172,0.00164108,0.00147854,0.00271155,0.00851136,0.00745842,0.00602988
173,0.00115047,0.00106982,0.00271721,0.00415552,0.00429361,0.00424304
174,0.00109046,0.00108222,0.00278153,0.00420606,0.00567153,0.00461274
175,0.00136371,0.00107091,0.00122466,0.00516443,0.00418005,0.00462784
176,0.00109252,0.00105084,0.00115066,0.00423796,0.00460219,0.00420147
177,0.00107441,0.00103272,0.00106062,0.00425354,0.00421566,0.00424392
178,0.001072,0.00103308,0.00105411,0.00447028,0.00425872,0.00421236
179,0.00104009,0.0010801,0.00111035,0.00457738,0.00419759,0.00427478
180,0.00105911,0.00104258,0.00108844,0.00426083,0.00418711,0.00418992
181,0.00109489,0.00104807,0.00105963,0.00445096,0.00418718,0.00420693
182,0.00106837,0.00104163,0.00131489,0.00423788,0.00419238,0.00424668
183,0.00106193,0.00235288,0.00114951,0.00579394,0.00447422,0.00447498
184,0.00125351,0.00109618,0.00140027,0.00615284,0.00629461,0.00646663
185,0.00177128,0.00139172,0.00157852,0.0047076,0.00438685,0.00447671
186,0.00120389,0.00134285,0.00109991,0.00465448,0.004535,0.00468356
187,0.00111667,0.00115701,0.00132052,0.0043648,0.00439453,0.00439032
188,0.00109254,0.0011942,0.00120951,0.00578787,0.00717161,0.00616432
189,0.00139634,0.00165262,0.00128626,0.00531428,0.00520526,0.00479541
190,0.00128144,0.00126498,0.00111153,0.00436133,0.004962,0.00468016
191,0.00118257,0.00136593,0.00143272,0.00555392,0.00870066,0.00845757
192,0.00236931,0.00215839,0.00198613,0.0081518,0.0114428,0.00887998
193,0.00292657,0.00212591,0.00212779,0.0123654,0.00881869,0.00792608
194,0.00197807,0.00183198,0.00165245,0.00517986,0.00489042,0.00485852
195,0.00136677,0.00119482,0.00286503,0.00697693,0.00630155,0.00625035
196,0.00148927,0.00162688,0.00125754,0.00566685,0.00877864,0.00758453
197,0.001958,0.00203562,0.00155776,0.00523904,0.00606308,0.00579836
198,0.00149833,0.00131192,0.00139638,0.00445831,0.00437735,0.00563356
199,0.00300468,0.00196834,0.00155071,0.00539486,0.00518843,0.00489833
200,0.00136273,0.0011207,0.00107853,0.00423076,0.00436959,0.00451252
201,0.00110414,0.00105491,0.00114346,0.00467116,0.00449668,0.00431639
202,0.00118358,0.00133074,0.00114252,0.00439488,0.00441486,0.00451384
203,0.00135722,0.00109555,0.00117452,0.00440552,0.00447827,0.00452033
204,0.00110096,0.00109479,0.00130024,0.0044518,0.00434408,0.0043799
205,0.00118228,0.00132126,0.00113201,0.00439306,0.00441748,0.00448136
206,0.00134176,0.00110241,0.00115538,0.00447857,0.00452958,0.00444101
207,0.00105948,0.00102858,0.00120671,0.00603567,0.00615005,0.00608679
208,0.00125928,0.00122893,0.00127252,0.00425724,0.00429375,0.00451912
209,0.00142866,0.00146654,0.00148486,0.00622616,0.00616786,0.00655444
210,0.00143018,0.00176545,0.0014575,0.00632995,0.00609616,0.00622198
211,0.00138413,0.00166816,0.00127757,0.00421253,0.00417002,0.00418852
212,0.00106211,0.00104136,0.00107064,0.00413061,0.00413633,0.00415201
213,0.00105399,0.00103584,0.00106395,0.00412793,0.00412354,0.00414453
214,0.0010548,0.0010368,0.00106607,0.004125,0.00421475,0.0143624
215,0.00299423,0.00123733,0.00111667,0.00552591,0.0042178,0.00566487
216,0.00109382,0.00103755,0.0026,0.00418479,0.00538894,0.0042372
217,0.00105393,0.00248824,0.00109321,0.00545317,0.00414396,0.00542607
218,0.00108333,0.00104367,0.00111903,0.00424337,0.00421187,0.00422377
219,0.00106218,0.00104556,0.00280411,0.00428226,0.00415062,0.00421191
220,0.00115709,0.00112238,0.00280832,0.00420619,0.00426039,0.00426407
221,0.00106128,0.00109907,0.00107318,0.00556849,0.0042242,0.00754389
222,0.00113403,0.00254695,0.00111055,0.00550313,0.00422834,0.0041644
223,0.0010676,0.00105262,0.00285802,0.00428346,0.00422982,0.00544972
224,0.00140723,0.00109521,0.00269162,0.00421965,0.00430268,0.00485626
225,0.00120349,0.00117664,0.00279758,0.00449209,0.00451966,0.00462774
226,0.00124532,0.00112566,0.0012443,0.00455377,0.00459148,0.00646114
227,0.00153454,0.00139228,0.00151268,0.00679206,0.00846038,0.00884027
228,0.00368469,0.00216755,0.00240133,0.00917605,0.00838163,0.0102555
229,0.00342213,0.00257774,0.00248334,0.0092093,0.0104515,0.0108046
230,0.00437294,0.00347616,0.00473937,0.0102815,0.00951858,0.0116728
231,0.00250186,0.00236578,0.00273878,0.0103021,0.00853762,0.00674072
232,0.00124181,0.0015139,0.00149791,0.00791875,0.00766168,0.00728793
233,0.00163683,0.00142125,0.00129851,0.00442763,0.00464338,0.0042216
234,0.001075,0.00103465,0.00106587,0.0042401,0.00451037,0.0042396
235,0.00112583,0.0010492,0.00112796,0.00450367,0.00538382,0.00453035
236,0.00116227,0.00121201,0.00109389,0.00447002,0.00446368,0.00443863
237,0.00114863,0.00135058,0.00291603,0.00468098,0.00418381,0.00438524
238,0.00115153,0.0011149,0.0027778,0.00524571,0.00444506,0.00541321
239,0.00110607,0.00106418,0.00112558,0.00418234,0.00628927,0.00635839
240,0.00131809,0.00148997,0.00127996,0.00726565,0.00637975,0.00628245
241,0.00308399,0.00133461,0.00138749,0.00602487,0.00607398,0.00911798
242,0.00153805,0.00127523,0.00139653,0.00610816,0.005975,0.00612385
243,0.00296758,0.00265032,0.0027415,0.00893264,0.0088834,0.00426904
244,0.00252498,0.00109811,0.00150373,0.00607277,0.00609382,0.00515425
245,0.00109166,0.001072,0.00105522,0.00412212,0.0044866,0.00490158
246,0.00169211,0.00159922,0.00125334,0.00561246,0.00487428,0.00438614
247,0.00155985,0.00150155,0.00126254,0.00601926,0.00600679,0.00607336
248,0.00132738,0.00145423,0.00126481,0.00602096,0.00456306,0.00419896
249,0.00108227,0.00104883,0.00105581,0.00562148,0.00717739,0.00749457
250,0.00289136,0.00267784,0.00297906,0.00937198,0.0113874,0.00872891
251,0.00205833,0.00218711,0.00203892,0.00538444,0.00417994,0.00424912
252,0.00129421,0.00108617,0.00109221,0.00416397,0.00415191,0.00417108
253,0.00105736,0.0010408,0.00105432,0.00414212,0.00421541,0.00458292
254,0.00107633,0.00103377,0.00105908,0.00434371,0.00414387,0.00414967
255,0.00107299,0.00102837,0.00106462,0.00413774,0.00415703,0.00417398
