idx,TLS_AES_128_GCM_SHA256,TLS_AES_256_GCM_SHA384,TLS_CHACHA20_POLY1305_SHA256,AES128-SHA256,AES128-GCM-SHA256,AES256-GCM-SHA384,ECDHE-RSA-AES128-SHA256,ECDHE-RSA-AES128-GCM-SHA256,ECDHE-RSA-AES256-GCM-SHA384,ECDHE-RSA-CHACHA20-POLY1305
0,0.00779932,0.00423675,0.00340491,0.00264416,0.00251209,0.00194834,0.0024893,0.00263731,0.00454417,0.00432556
1,0.00533669,0.00298056,0.00434023,0.00194492,0.00335999,0.00188753,0.00404686,0.00201073,0.00158951,0.00137036
2,0.00140331,0.00145927,0.00142468,0.00122861,0.0011708,0.00126431,0.00147242,0.00144914,0.00136315,0.00211765
3,0.00184014,0.00179027,0.00173765,0.00124008,0.00173839,0.00136794,0.00189715,0.00181799,0.00197562,0.00207719
4,0.00192137,0.00188415,0.00208915,0.00161374,0.00154384,0.00153674,0.00154434,0.00150745,0.00141493,0.00142292
5,0.00146268,0.00141609,0.00141028,0.00116366,0.00126977,0.00119879,0.00136122,0.00132094,0.00142939,0.00165838
6,0.00160759,0.00147967,0.00147734,0.00117671,0.00122325,0.00119594,0.00145045,0.00193454,0.00206811,0.00215159
7,0.00159595,0.00152294,0.00212178,0.00123619,0.001654,0.00165703,0.00326107,0.00192677,0.00143558,0.00142575
8,0.00152695,0.00165575,0.00167113,0.00139373,0.0014994,0.00160795,0.00190913,0.00209716,0.00230853,0.00212348
9,0.00200122,0.00217293,0.00186268,0.00121021,0.00113679,0.00120558,0.00136614,0.0013436,0.0013946,0.00132414
10,0.00139743,0.00143538,0.00149571,0.00140806,0.00118935,0.00120724,0.00135306,0.001364,0.00139207,0.00144692
11,0.0014778,0.00143442,0.00144692,0.00118596,0.00253705,0.00120046,0.00298386,0.00140212,0.00171462,0.00162152
12,0.00145113,0.0016171,0.00146926,0.00132081,0.00132209,0.00121346,0.00160094,0.00140976,0.00171048,0.00142675
13,0.00179723,0.00350188,0.00331066,0.00334206,0.00222396,0.00194469,0.00218556,0.00207382,0.00169842,0.00185183
14,0.00150614,0.00153824,0.00155951,0.00127241,0.00116169,0.00126402,0.00140572,0.00161867,0.00146993,0.00149128
15,0.00159422,0.00303557,0.00141635,0.00122855,0.00118478,0.00121093,0.00136719,0.00134356,0.00135282,0.00134019
16,0.00144516,0.00144366,0.00144692,0.0011676,0.00119723,0.00119477,0.00136542,0.00133456,0.00138787,0.00135959
17,0.00139327,0.00144714,0.00148317,0.00120138,0.00117397,0.00219416,0.0034894,0.00324522,0.00332183,0.00300097
18,0.00308522,0.00312739,0.00311804,0.00272758,0.00301725,0.00336563,0.00407847,0.00418549,0.00371564,0.00290833
19,0.00301336,0.00317352,0.00305014,0.0026637,0.00256216,0.00334112,0.00402056,0.00404706,0.00540358,0.00486502
20,0.00435563,0.00452536,0.00447125,0.00275446,0.00277183,0.00281728,0.00309964,0.00298219,0.0031709,0.00297131
21,0.00261087,0.00280941,0.00266421,0.00214557,0.00183865,0.00192698,0.00198072,0.00171753,0.00165815,0.00152032
22,0.00149671,0.00160469,0.00143205,0.00137292,0.00131763,0.00144965,0.00158216,0.00140721,0.00156346,0.00142018
23,0.00154035,0.00155446,0.0014814,0.00146557,0.00129372,0.00177988,0.00176486,0.00176463,0.00183294,0.00185438
24,0.00220602,0.00262459,0.00203261,0.0014182,0.00185455,0.00326929,0.00353368,0.00343909,0.0033501,0.00388326
25,0.00356588,0.00368208,0.00161854,0.00123069,0.00269934,0.00132816,0.00310412,0.00141565,0.00138901,0.00134933
26,0.00140905,0.00143291,0.00142679,0.00117836,0.00119064,0.00171567,0.00342913,0.00315278,0.00318471,0.00242719
27,0.00189456,0.00196061,0.00169926,0.0013296,0.00144802,0.00317424,0.00216641,0.00206326,0.00424314,0.00533482
28,0.00299376,0.00414826,0.00301727,0.00201619,0.00155043,0.00132009,0.00146275,0.00147032,0.00147944,0.00141654
29,0.00145077,0.00149336,0.00150438,0.0011793,0.00114086,0.00134384,0.0013847,0.00146105,0.00139655,0.0014145
30,0.0014478,0.00142846,0.00147434,0.00120041,0.00117771,0.00290417,0.00145256,0.00332307,0.00150272,0.0013818
31,0.00144858,0.00144289,0.00141483,0.00120405,0.001179,0.0012474,0.00150089,0.00136951,0.00138996,0.00134438
32,0.00149184,0.00165459,0.00148005,0.00129224,0.00118792,0.00128399,0.00150696,0.00147396,0.00148139,0.00135555
33,0.00139038,0.00212573,0.0014167,0.00118987,0.00127323,0.00137474,0.00147399,0.00324011,0.0014327,0.00153345
34,0.00150536,0.00418327,0.00367406,0.00214897,0.00225895,0.00171261,0.0019196,0.00208261,0.00176985,0.00200034
35,0.0022268,0.00264,0.00222998,0.00154967,0.00126845,0.00133624,0.00185432,0.00135641,0.00138247,0.00138591
36,0.00139715,0.00142067,0.0014786,0.00129169,0.00127951,0.0012126,0.00152978,0.00140861,0.0013974,0.00138223
37,0.00141069,0.00151748,0.00143501,0.00269308,0.00127174,0.00283187,0.00141811,0.00135078,0.00136088,0.00190849
38,0.00201886,0.00199176,0.00222796,0.00174818,0.00139818,0.00160642,0.00140297,0.00190293,0.0020394,0.00203632
39,0.00191856,0.00193249,0.00189371,0.00151321,0.00166859,0.00176748,0.00201511,0.00220044,0.00206218,0.00191936
40,0.00213858,0.00196856,0.00199159,0.00171154,0.00185027,0.0016558,0.00199757,0.00187758,0.00243975,0.00224134
41,0.00256622,0.00228729,0.00222981,0.00219998,0.00200185,0.00217297,0.00259303,0.00239462,0.00240035,0.00231509
42,0.00239752,0.00227239,0.00442836,0.00316934,0.002919,0.0031394,0.00395228,0.00289858,0.00266391,0.00235544
43,0.00196657,0.00172876,0.00168547,0.00122302,0.00124853,0.00117311,0.00136803,0.00138242,0.00136341,0.0013724
44,0.00140627,0.00211234,0.00253409,0.00186656,0.00187054,0.0018484,0.00177473,0.00151933,0.0015744,0.00155426
45,0.00147991,0.00145345,0.00239633,0.00155273,0.00126853,0.00131176,0.00195406,0.00154665,0.00151396,0.00266875
46,0.00164841,0.00339471,0.0018421,0.00167688,0.00151509,0.00184412,0.00211897,0.00190614,0.00193091,0.0019595
47,0.00177372,0.00343988,0.0019024,0.00255758,0.00162359,0.00143364,0.00172907,0.00186775,0.00188364,0.00202061
48,0.00211649,0.00188851,0.00148345,0.00124631,0.00118869,0.0027798,0.00192294,0.0018031,0.00170903,0.001697
49,0.00175413,0.00177802,0.00305242,0.00167018,0.00320138,0.00186745,0.00394396,0.00232142,0.00386134,0.00319543
50,0.00187222,0.00180274,0.00176229,0.00162272,0.00145544,0.00138734,0.00178066,0.00226099,0.00386337,0.00351953
51,0.00169205,0.00148507,0.00143839,0.0027982,0.00197412,0.00190609,0.00199994,0.00191755,0.00191819,0.00188047
52,0.00169974,0.00151247,0.0014444,0.00121763,0.00117475,0.00123511,0.00141392,0.00135043,0.00137246,0.00137468
53,0.00319691,0.00151954,0.00138503,0.00126429,0.00115205,0.00121697,0.0013611,0.00137456,0.00140433,0.00185687
54,0.0017538,0.00218577,0.00147958,0.00119314,0.00118339,0.00122261,0.00203381,0.00170922,0.00150492,0.00165891
