idx,TLS13_AES_128_GCM_SHA256,TLS13_AES_256_GCM_SHA384,TLS13_CHACHA20_POLY1305_SHA256,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256
0,0.004906372,0.002677551,0.0024821,0.004470504,0.002736968,0.004387572
1,0.002543575,0.003963343,0.003747017,0.002046704,0.004297974,0.002771621
2,0.003246381,0.002166445,0.002141449,0.002504639,0.003667905,0.002438474
3,0.002885274,0.002097996,0.002116133,0.002286102,0.00183461,0.001459619
4,0.001337675,0.001268717,0.001219502,0.001355756,0.001297958,0.001236967
5,0.001191957,0.001320733,0.001228026,0.001596847,0.003154089,0.001250174
6,0.001133534,0.001347218,0.003145552,0.001483619,0.001723017,0.003358586
7,0.003835132,0.003025184,0.002292764,0.001820161,0.002186989,0.00166257
8,0.00156164,0.001769952,0.001271392,0.001423922,0.002931333,0.001299453
9,0.001124521,0.00114748,0.001105968,0.00287088,0.001235995,0.001158808
10,0.001114568,0.001141546,0.00108515,0.001141381,0.001151737,0.001127506
11,0.001116385,0.001176363,0.001122063,0.001216955,0.001225532,0.001181146
12,0.00113764,0.001168876,0.001161035,0.001129724,0.001148755,0.001270225
13,0.001159867,0.001226861,0.001114615,0.001127582,0.001133562,0.001114421
14,0.001093803,0.001121414,0.001181207,0.001483972,0.001210683,0.001129888
15,0.001115751,0.001184214,0.001177274,0.001176989,0.001135151,0.001112856
16,0.001115677,0.001130386,0.001086879,0.001108527,0.001239392,0.001106681
17,0.001089489,0.00113716,0.001093977,0.00138597,0.001264317,0.001148099
18,0.001143196,0.001143055,0.001359004,0.001180721,0.001140938,0.001164683
19,0.001121016,0.001146742,0.00109777,0.00118094,0.001192698,0.00117562
20,0.001156883,0.001158478,0.001117675,0.00148576,0.002851273,0.001336387
21,0.002906118,0.001263861,0.00299572,0.001402163,0.002339196,0.001571143
22,0.001138328,0.001186312,0.001253062,0.002292456,0.001221498,0.001138086
23,0.001174373,0.001586778,0.001220153,0.001491499,0.001320706,0.00137654
24,0.001341444,0.001465742,0.001298528,0.001499689,0.001354136,0.001172754
25,0.001221078,0.001180512,0.001122693,0.001129962,0.001129154,0.001107636
26,0.001114307,0.00112658,0.001102932,0.001130491,0.0011228,0.001101588
27,0.001156582,0.001135237,0.001131493,0.001309867,0.001322399,0.001123684
28,0.001096332,0.001260512,0.001095474,0.001300722,0.003011062,0.001228225
29,0.001102998,0.001130508,0.001294422,0.001247969,0.001138732,0.001161471
30,0.001132758,0.001135825,0.001095537,0.00319334,0.001362177,0.001596961
31,0.001101901,0.001125022,0.001327616,0.001135983,0.001260504,0.001119203
32,0.001184316,0.001139488,0.001162569,0.001119074,0.00125311,0.00110762
33,0.00110895,0.001131023,0.001327577,0.001194175,0.001387533,0.001109253
34,0.001144599,0.001136656,0.001092418,0.00128376,0.001169674,0.00118443
35,0.001106356,0.001165728,0.001092907,0.001109854,0.001179819,0.001188243
36,0.001168315,0.001151106,0.001126582,0.00111954,0.001126762,0.001112895
37,0.001162638,0.001135466,0.001278973,0.001114838,0.001127702,0.001119602
38,0.001222971,0.001180925,0.001147493,0.001130751,0.0011309,0.00110208
39,0.001129366,0.001134703,0.001084659,0.001119127,0.001316294,0.001105308
40,0.001259583,0.001136069,0.001159288,0.001331344,0.001368977,0.001198561
41,0.001120037,0.001151377,0.001088899,0.001108832,0.001142074,0.001239891
42,0.001094351,0.001136042,0.001253684,0.001273688,0.001338312,0.00139039
43,0.003193805,0.003147495,0.00282997,0.003642528,0.003964623,0.004115264
44,0.002472145,0.002141245,0.001922743,0.001692412,0.001918354,0.002612032
45,0.001470389,0.001303034,0.001113627,0.001276407,0.002962987,0.001167881
46,0.001120904,0.002851008,0.001197231,0.001661035,0.001188144,0.001184649
47,0.001111499,0.001158569,0.001267078,0.001257267,0.001128141,0.001125672
48,0.001105581,0.001186154,0.001208061,0.001147037,0.001135739,0.00110968
49,0.001089629,0.001145136,0.001084017,0.001264262,0.001232223,0.001114828
50,0.001093813,0.0011715,0.001101095,0.0012166,0.001162816,0.001140597
51,0.001126403,0.001299036,0.001141716,0.001222658,0.001156949,0.001250408
52,0.00112727,0.001122493,0.001105077,0.001175452,0.001178835,0.001215532
53,0.001134834,0.001137456,0.001085783,0.001123007,0.001197667,0.001110139
54,0.001131308,0.001173763,0.001111778,0.00133248,0.002805254,0.001645507
55,0.001392922,0.001736674,0.003137946,0.003219552,0.001903986,0.003716276
56,0.004307773,0.004615096,0.003649964,0.003319042,0.002973883,0.001820979
57,0.001392212,0.002066819,0.002033578,0.003708824,0.004397382,0.004627595
58,0.002598818,0.002838322,0.003556831,0.003527562,0.003744761,0.002991225
59,0.002521215,0.003113165,0.002448212,0.002335356,0.002450501,0.00200933
60,0.001613338,0.00204947,0.001670774,0.003310531,0.002282782,0.001807205
61,0.002034182,0.00236069,0.003991957,0.002785237,0.002428558,0.001928202
62,0.001806724,0.00164471,0.001363951,0.00320127,0.002248908,0.002770604
63,0.001593755,0.003708044,0.003732023,0.003588098,0.003238494,0.004530384
64,0.001710339,0.00206219,0.002704967,0.004007225,0.002154576,0.003770663
65,0.001513229,0.001683306,0.003861421,0.00170426,0.00323402,0.001709221
66,0.00120513,0.001391736,0.003444737,0.001510687,0.003037514,0.001409145
67,0.001167069,0.002751687,0.002122938,0.001554431,0.002867909,0.001438191
68,0.001131884,0.001245904,0.002737774,0.001740585,0.003001119,0.001402068
69,0.001146386,0.001280786,0.001388385,0.002523732,0.001717881,0.003466272
70,0.001151359,0.002924027,0.001233074,0.002909188,0.001991328,0.001568326
71,0.001130577,0.001303342,0.00140514,0.003804884,0.001251278,0.001786739
72,0.00311253,0.001345384,0.0028939,0.001531565,0.003013797,0.00138663
73,0.001224129,0.001277769,0.002910451,0.001601845,0.002115583,0.001490107
74,0.001218639,0.001554401,0.001391207,0.002202744,0.00318726,0.001675727
75,0.001430742,0.001614983,0.001386585,0.002384683,0.003239058,0.001898501
76,0.00353644,0.002124647,0.001835724,0.002669457,0.001713142,0.001516929
77,0.001371357,0.002348988,0.001500903,0.003634403,0.00191332,0.002177472
78,0.002540561,0.001649986,0.001446774,0.001413936,0.001166606,0.001978257
79,0.001141279,0.003198269,0.001279757,0.003315763,0.001874144,0.001970338
80,0.003421198,0.001808422,0.001741363,0.001974273,0.001855467,0.001568785
81,0.001243639,0.00130057,0.002945923,0.001752181,0.003279125,0.001817159
82,0.0034444,0.003456245,0.003347301,0.003740596,0.003738736,0.003624549
83,0.002856514,0.002064353,0.00337903,0.002505063,0.003492389,0.002223932
84,0.002206888,0.002234706,0.002152351,0.002506764,0.003604265,0.002348003
85,0.001945732,0.001886709,0.003414809,0.002548676,0.003425411,0.002178156
86,0.002019679,0.00211789,0.002060365,0.001902014,0.001685939,0.001289617
87,0.001432754,0.001648125,0.003045989,0.001886219,0.001853609,0.001661497
88,0.001678356,0.003430861,0.003628389,0.003518947,0.003538712,0.003355696
89,0.002216455,0.003476857,0.003347235,0.003904117,0.002372935,0.003666432
90,0.002050615,0.002016473,0.002341258,0.002492571,0.00354554,0.002276545
91,0.001907672,0.002024463,0.002696849,0.002353968,0.002628847,0.002241098
92,0.001924649,0.001987335,0.001557264,0.001601568,0.001687619,0.001395446
93,0.001415171,0.001688921,0.00134477,0.001504972,0.001579255,0.001406502
94,0.001331437,0.001632497,0.001433163,0.001416267,0.001748722,0.00147475
95,0.001408192,0.001732205,0.001385919,0.001492234,0.001321535,0.001244455
96,0.001226612,0.001162632,0.001150538,0.001292081,0.001164005,0.001185383
97,0.001209012,0.00307606,0.001174822,0.001199412,0.00115922,0.0012519
98,0.001097086,0.001188862,0.001278079,0.001148755,0.001142339,0.001154003
99,0.001115933,0.001138557,0.001207113,0.001176056,0.001173217,0.00112985
100,0.001102817,0.001136399,0.001166899,0.001120771,0.001126249,0.001102001
101,0.003215468,0.001304425,0.003033195,0.001813063,0.003071189,0.001746338
102,0.001466016,0.001742025,0.001901458,0.003765841,0.003870104,0.001789478
103,0.001902203,0.002122089,0.001695671,0.003579551,0.003905213,0.001844145
104,0.001810009,0.001711577,0.00136075,0.002855759,0.001535934,0.001305224
105,0.001220789,0.001184214,0.001281343,0.003183545,0.001357023,0.001581414
106,0.001131249,0.001256334,0.001191901,0.003410573,0.001350192,0.001534459
107,0.002956422,0.003629899,0.003782939,0.002794691,0.002923393,0.002470575
108,0.002540317,0.002751906,0.002366301,0.002810959,0.002463099,0.002080046
109,0.001910089,0.004227797,0.002364458,0.004185866,0.002789704,0.004038513
110,0.004279687,0.002521562,0.003982953,0.002295175,0.002506341,0.004488606
111,0.004079764,0.003187229,0.001318336,0.002923529,0.003007414,0.002788732
112,0.001544994,0.001164235,0.00125711,0.001304072,0.001315728,0.00125661
113,0.001830218,0.001940684,0.002372586,0.002533996,0.002135317,0.002250438
114,0.002199456,0.001952083,0.002210445,0.002430296,0.004453632,0.004048651
115,0.001797255,0.00373125,0.003117911,0.001535061,0.001254497,0.001426975
116,0.001550061,0.003829713,0.002203038,0.001456838,0.00340064,0.002568652
117,0.001186926,0.001165849,0.001261553,0.0014577,0.001626245,0.002136888
